_id,contributors,coordinates,created_at,entities.hashtags,entities.media,entities.symbols,entities.urls,entities.user_mentions,extended_entities.media,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata.iso_language_code,metadata.result_type,place,possibly_sensitive,quoted_status.contributors,quoted_status.coordinates,quoted_status.created_at,quoted_status.entities.hashtags,quoted_status.entities.media,quoted_status.entities.symbols,quoted_status.entities.urls,quoted_status.entities.user_mentions,quoted_status.extended_entities.media,quoted_status.favorite_count,quoted_status.favorited,quoted_status.geo,quoted_status.id,quoted_status.id_str,quoted_status.in_reply_to_screen_name,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.is_quote_status,quoted_status.lang,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.place,quoted_status.possibly_sensitive,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.retweet_count,quoted_status.retweeted,quoted_status.source,quoted_status.text,quoted_status.truncated,quoted_status.user.contributors_enabled,quoted_status.user.created_at,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.description,quoted_status.user.entities.description.urls,quoted_status.user.entities.url.urls,quoted_status.user.favourites_count,quoted_status.user.follow_request_sent,quoted_status.user.followers_count,quoted_status.user.following,quoted_status.user.friends_count,quoted_status.user.geo_enabled,quoted_status.user.has_extended_profile,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.is_translation_enabled,quoted_status.user.is_translator,quoted_status.user.lang,quoted_status.user.listed_count,quoted_status.user.location,quoted_status.user.name,quoted_status.user.notifications,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_banner_url,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.protected,quoted_status.user.screen_name,quoted_status.user.statuses_count,quoted_status.user.time_zone,quoted_status.user.translator_type,quoted_status.user.url,quoted_status.user.utc_offset,quoted_status.user.verified,quoted_status.user.withheld_in_countries,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,source,text,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified,user.withheld_in_countries
61edc734e5ee475b263224f4,null,null,Sun Jan 23 18:43:46 +0000 2022,[],,[],[],"[{""screen_name"":""Hate_Congress"",""name"":""Hate_Congress"",""id"":1460980937991147500,""id_str"":""1460980937991147526"",""indices"":[0,14]},{""screen_name"":""AminaaKausar"",""name"":""أمينة Amina"",""id"":421517829,""id_str"":""421517829"",""indices"":[15,28]}]",,0,false,null,1485322381396787202,1485322381396787202,Hate_Congress,1485321191871369216,1485321191871369216,1460980937991147526,1460980937991147526,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Hate_Congress @AminaaKausar Death sentence for heinous crime. Religions don’t matter . But not selective . Justice for all .,false,false,Wed Aug 14 13:08:35 +0000 2013,true,false,"लिखता हु अपने विचारों को कभी मुल्क के लिए, कभी समाज कि लिए,कभी अपने लिए ।( माँ की कोख कभी मज़हब नहीं देखतीं है) मानवतावादी 🙏🏻",[],,634,false,15,false,147,true,true,1670436750,1670436750,false,false,null,0,Abu Dhabi,emir,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/1670436750/1545454750,http://pbs.twimg.com/profile_images/1479198138284003334/QXAzzLfW_normal.jpg,https://pbs.twimg.com/profile_images/1479198138284003334/QXAzzLfW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,mohdaamir7500,2350,null,none,null,null,false,[]
61edc734e5ee475b263224f5,null,null,Sun Jan 23 18:42:25 +0000 2022,[],,[],"[{""url"":""https://t.co/ZXES0zmlOh"",""expanded_url"":""https://twitter.com/i/web/status/1485322041674944514"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""Hate_Congress"",""name"":""Hate_Congress"",""id"":1460980937991147500,""id_str"":""1460980937991147526"",""indices"":[0,14]},{""screen_name"":""AminaaKausar"",""name"":""أمينة Amina"",""id"":421517829,""id_str"":""421517829"",""indices"":[15,28]}]",,0,false,null,1485322041674944514,1485322041674944514,Hate_Congress,1485321191871369216,1485321191871369216,1460980937991147526,1460980937991147526,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Hate_Congress @AminaaKausar Crime is crime . Chayeee mere log kareee ye apkeeee . Kanoon kammm kreeee moutttt ki s… https://t.co/ZXES0zmlOh,true,false,Wed Aug 14 13:08:35 +0000 2013,true,false,"लिखता हु अपने विचारों को कभी मुल्क के लिए, कभी समाज कि लिए,कभी अपने लिए ।( माँ की कोख कभी मज़हब नहीं देखतीं है) मानवतावादी 🙏🏻",[],,634,false,15,false,147,true,true,1670436750,1670436750,false,false,null,0,Abu Dhabi,emir,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/1670436750/1545454750,http://pbs.twimg.com/profile_images/1479198138284003334/QXAzzLfW_normal.jpg,https://pbs.twimg.com/profile_images/1479198138284003334/QXAzzLfW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,mohdaamir7500,2350,null,none,null,null,false,[]
61edc734e5ee475b263224f6,null,null,Sun Jan 23 14:58:40 +0000 2022,[],,[],"[{""url"":""https://t.co/MH53aejcVs"",""expanded_url"":""https://twitter.com/i/web/status/1485265735438192640"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""DiwakarSharmaa"",""name"":""Diwakar Sharma"",""id"":220098159,""id_str"":""220098159"",""indices"":[0,15]},{""screen_name"":""ShivRajMathur1"",""name"":""𝓢𝓱𝓲𝓿 𝓡𝓪𝓳 𝓜𝓪𝓽𝓱𝓾𝓻"",""id"":467609858,""id_str"":""467609858"",""indices"":[16,31]}]",,1,false,null,1485265735438192640,1485265735438192640,DiwakarSharmaa,1484789800989499395,1484789800989499395,220098159,220098159,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@DiwakarSharmaa @ShivRajMathur1 Now they are all criminals. Really disturbing to see such young generation  consumi… https://t.co/MH53aejcVs,true,false,Fri Dec 03 21:04:48 +0000 2010,true,false,True Indian,[],,15124,false,806,false,1393,true,false,222584538,222584538,false,false,null,1,Dubai UAE,Abdul Majeed عبدالمجيد 🇮🇳🇵🇸,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/222584538/1615965582,http://pbs.twimg.com/profile_images/809360734614355968/5nkqOfdF_normal.jpg,https://pbs.twimg.com/profile_images/809360734614355968/5nkqOfdF_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,AMajeedDXB,14853,null,none,null,null,false,[]
61edc734e5ee475b263224f7,null,null,Sun Jan 23 14:32:17 +0000 2022,[],,[],"[{""url"":""https://t.co/CAooRyoGPz"",""expanded_url"":""https://twitter.com/i/web/status/1485259092633751553"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]",[],,0,false,null,1485259092633751553,1485259092633751553,null,null,null,null,null,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","I hate this bitch, she'll befriend u, turn u to crime, turn u over to d cops, and get a medal for it all..Ms Taibai… https://t.co/CAooRyoGPz",true,false,Fri Sep 30 13:21:17 +0000 2011,true,false,"Hi, Im a freelance writer and write for just about anything in this world. I also am an editor of some repute and am working on my first non-fiction book.",[],"[{""url"":""https://t.co/9RAeoNPERP"",""expanded_url"":""https://wordpress.com/view/idiotorial.wordpress.com"",""display_url"":""wordpress.com/view/idiotoria…"",""indices"":[0,23]}]",18232,false,311,false,1028,true,true,382657339,382657339,false,false,null,1,mumbai,neha singh,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,,http://pbs.twimg.com/profile_images/1566558070/19aug2011_normal.jpg,https://pbs.twimg.com/profile_images/1566558070/19aug2011_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,muditaa001,33192,null,none,https://t.co/9RAeoNPERP,null,false,[]
61edc734e5ee475b263224f8,null,null,Sun Jan 23 14:09:44 +0000 2022,[],,[],"[{""url"":""https://t.co/VqoJFWgzgK"",""expanded_url"":""https://twitter.com/i/web/status/1485253421171363843"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[121,144]}]","[{""screen_name"":""FaissalFarooq"",""name"":""Faissal Farooq"",""id"":2415778224,""id_str"":""2415778224"",""indices"":[0,14]},{""screen_name"":""Nidhi"",""name"":""Nidhi Razdan"",""id"":3184454384,""id_str"":""3184454384"",""indices"":[15,21]}]",,0,false,null,1485253421171363843,1485253421171363843,FaissalFarooq,1485248438845382667,1485248438845382667,2415778224,2415778224,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@FaissalFarooq @Nidhi What these guys ve allegedly done is sick! But , it amounts to cyber crime &amp;nothing more . If… https://t.co/VqoJFWgzgK",true,false,Sun Dec 26 13:36:21 +0000 2021,true,false,Surgeon . Coffee Planter .,[],,1284,false,14,false,714,false,true,1475098109986308102,1475098109986308102,false,false,null,0,"Karnataka, India",Shashidhar Raj,false,F5F8FA,null,null,false,,http://pbs.twimg.com/profile_images/1475643303508856832/ZWuCqzA6_normal.jpg,https://pbs.twimg.com/profile_images/1475643303508856832/ZWuCqzA6_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,Shashidhar1975,944,null,none,null,null,false,[]
61edc734e5ee475b263224f9,null,null,Sun Jan 23 13:55:20 +0000 2022,[],,[],[],"[{""screen_name"":""hongerootooties"",""name"":""🌻"",""id"":1349744305250812000,""id_str"":""1349744305250811904"",""indices"":[0,16]},{""screen_name"":""rileylism"",""name"":""riley ):)"",""id"":754689943780274200,""id_str"":""754689943780274176"",""indices"":[42,52]}]",,0,false,null,1485249797238169603,1485249797238169603,hongerootooties,1485062983093207042,1485062983093207042,1349744305250811904,1349744305250811904,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@hongerootooties this is a hate crime cc: @rileylism,false,false,Mon May 17 07:16:01 +0000 2010,false,false,The divine and the eternal monkey mind.,[],,19576,false,808,false,325,true,false,144767222,144767222,false,false,null,3,Singapore,Albert Pang,false,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,true,https://pbs.twimg.com/profile_banners/144767222/1642746281,http://pbs.twimg.com/profile_images/1422162504839426053/yigB_nFC_normal.jpg,https://pbs.twimg.com/profile_images/1422162504839426053/yigB_nFC_normal.jpg,4A913C,EEEEEE,EFEFEF,333333,true,false,aeonar,24333,null,none,null,null,false,[]
61edc734e5ee475b263224fa,null,null,Sun Jan 23 12:11:19 +0000 2022,[],,[],"[{""url"":""https://t.co/7E1zOo55Nw"",""expanded_url"":""https://twitter.com/i/web/status/1485223620892758016"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[114,137]}]",[],,1,false,null,1485223620892758016,1485223620892758016,null,null,null,null,null,true,en,en,recent,null,false,null,null,Fri Aug 27 08:50:36 +0000 2021,[],,[],"[{""url"":""https://t.co/e7BC4E4kOQ"",""expanded_url"":""https://twitter.com/i/web/status/1431177315074015237"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[114,137]}]",[],,18,false,null,1431177315074015237,1431177315074015237,null,null,null,null,null,false,en,en,recent,null,false,,,9,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Despite 2 FIRs being filed in the 'Sulli Deals' hate crime case, no arrests have been made by the Police so far.… https://t.co/e7BC4E4kOQ",true,false,Wed May 31 10:49:42 +0000 2017,true,false,"Member Polit Bureau, Communist Party of India (Marxist). Former MP, Lok Sabha. Vice President, All India Democratic Womens Assn. Former member, NCW",[],,2504,false,33576,false,653,true,true,869868484297056256,869868484297056256,false,false,null,53,"New Delhi, India",Subhashini Ali,false,F5F8FA,null,null,false,https://pbs.twimg.com/profile_banners/869868484297056256/1496301565,http://pbs.twimg.com/profile_images/870178065099309056/UyCFiwcn_normal.jpg,https://pbs.twimg.com/profile_images/870178065099309056/UyCFiwcn_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,SubhashiniAli,29650,null,none,null,null,true,[],1431177315074015237,1431177315074015237,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Despite 2 FIRs being filed in the 'Sulli Deals' hate crime case, no arrests have been made by the Police so far.… https://t.co/7E1zOo55Nw",true,false,Mon Nov 03 10:53:16 +0000 2014,true,false,"सामूहिकता
किसानीयत
गाँव-ढाणी",[],,276,false,39,false,377,true,true,2888389482,2888389482,false,false,null,1,"नई दिल्ली, भारत",Prabhanshu Kajla,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/2888389482/1642940593,http://pbs.twimg.com/profile_images/1485226402664255490/8NCMYDiu_normal.jpg,https://pbs.twimg.com/profile_images/1485226402664255490/8NCMYDiu_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,DasCapital_1867,242,null,none,null,null,false,[]
61edc735e5ee475b263224fb,null,null,Sun Jan 23 12:11:06 +0000 2022,"[{""text"":""DelhiPoliceActNow"",""indices"":[0,18]},{""text"":""SulliDeals"",""indices"":[68,79]}]",,[],"[{""url"":""https://t.co/XDhpUiycDO"",""expanded_url"":""https://twitter.com/i/web/status/1485223562759737345"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""DCWDelhi"",""name"":""Delhi Commission for Women - DCW"",""id"":3988457532,""id_str"":""3988457532"",""indices"":[20,29]}]",,2,false,null,1485223562759737345,1485223562759737345,null,null,null,null,null,true,en,en,recent,null,false,null,null,Fri Aug 27 19:02:28 +0000 2021,"[{""text"":""DelhiPoliceActNow"",""indices"":[0,18]},{""text"":""SulliDeals"",""indices"":[68,79]}]",,[],"[{""url"":""https://t.co/BdgW4BnriY"",""expanded_url"":""https://twitter.com/i/web/status/1431331296182091776"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]","[{""screen_name"":""DCWDelhi"",""name"":""Delhi Commission for Women - DCW"",""id"":3988457532,""id_str"":""3988457532"",""indices"":[20,29]}]",,7,false,null,1431331296182091776,1431331296182091776,null,null,null,null,null,false,en,en,recent,null,false,,,6,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#DelhiPoliceActNow
.@DCWDelhi is disappointed with investigation in #SulliDeals hate crime case.  Despite 2 FIRs be… https://t.co/BdgW4BnriY",true,false,Sun Jan 25 16:51:31 +0000 2015,false,false,"Electronics & Communication Engineer, Software Engineer, Volunteer, Aam Aadmi, Husband, Father.
Backup account in case Govt suspends my account @AapKAhsanIndian",[],"[{""url"":""https://t.co/nnDyj8nPoz"",""expanded_url"":""http://donations.aamaadmiparty.org"",""display_url"":""donations.aamaadmiparty.org"",""indices"":[0,23]}]",67380,false,1717,false,2566,true,true,2996035764,2996035764,false,false,null,7,Hyderabad,AAP Ka Ahsan Indian|అహసన|अहसन|احسن,false,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,false,https://pbs.twimg.com/profile_banners/2996035764/1578215397,http://pbs.twimg.com/profile_images/1292351294225543168/VWdFabcu_normal.jpg,https://pbs.twimg.com/profile_images/1292351294225543168/VWdFabcu_normal.jpg,2FC2EF,181A1E,252429,666666,true,false,AhmedAhsanAbbas,43037,null,none,https://t.co/nnDyj8nPoz,null,false,[],1431331296182091776,1431331296182091776,2,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#DelhiPoliceActNow
.@DCWDelhi is disappointed with investigation in #SulliDeals hate crime case.  Despite 2 FIRs be… https://t.co/XDhpUiycDO",true,false,Mon Nov 03 10:53:16 +0000 2014,true,false,"सामूहिकता
किसानीयत
गाँव-ढाणी",[],,276,false,39,false,377,true,true,2888389482,2888389482,false,false,null,1,"नई दिल्ली, भारत",Prabhanshu Kajla,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/2888389482/1642940593,http://pbs.twimg.com/profile_images/1485226402664255490/8NCMYDiu_normal.jpg,https://pbs.twimg.com/profile_images/1485226402664255490/8NCMYDiu_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,DasCapital_1867,242,null,none,null,null,false,[]
61edc735e5ee475b263224fc,null,null,Sun Jan 23 11:45:48 +0000 2022,"[{""text"":""JusticeforLavanya"",""indices"":[48,66]}]","[{""id"":1485216900225581000,""id_str"":""1485216900225581057"",""indices"":[67,90],""media_url"":""http://pbs.twimg.com/media/FJyM5thaQAEjzey.jpg"",""media_url_https"":""https://pbs.twimg.com/media/FJyM5thaQAEjzey.jpg"",""url"":""https://t.co/QzEm0kYAmI"",""display_url"":""pic.twitter.com/QzEm0kYAmI"",""expanded_url"":""https://twitter.com/CJ_India/status/1485217196951617541/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1170,""h"":850,""resize"":""fit""},""medium"":{""w"":1170,""h"":850,""resize"":""fit""},""small"":{""w"":680,""h"":494,""resize"":""fit""}}}]",[],[],[],"[{""id"":1485216900225581000,""id_str"":""1485216900225581057"",""indices"":[67,90],""media_url"":""http://pbs.twimg.com/media/FJyM5thaQAEjzey.jpg"",""media_url_https"":""https://pbs.twimg.com/media/FJyM5thaQAEjzey.jpg"",""url"":""https://t.co/QzEm0kYAmI"",""display_url"":""pic.twitter.com/QzEm0kYAmI"",""expanded_url"":""https://twitter.com/CJ_India/status/1485217196951617541/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1170,""h"":850,""resize"":""fit""},""medium"":{""w"":1170,""h"":850,""resize"":""fit""},""small"":{""w"":680,""h"":494,""resize"":""fit""}}}]",4,false,null,1485217196951617541,1485217196951617541,null,null,null,null,null,false,en,en,recent,null,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","From Hinduphobia To Hate Crime Against Hindus.

#JusticeforLavanya https://t.co/QzEm0kYAmI",false,false,Sun Sep 08 15:22:04 +0000 2013,true,false,"Techie | Political Observer | Dharmic Wing | 

Everyone on the Earth is Secular but not at the cost of their Religion /Culture/ Identity/ Country/ Land.",[],"[{""url"":""https://t.co/w9xJsFzeYU"",""expanded_url"":""https://www.facebook.com/CJ.India?ref=hl"",""display_url"":""facebook.com/CJ.India?ref=hl"",""indices"":[0,23]}]",21080,false,909,false,1350,true,false,1830619279,1830619279,false,false,null,19,INDIA,🇮🇳 iCJ (#IndiaFightingChineseVirus),false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/1830619279/1598592992,http://pbs.twimg.com/profile_images/1312127750363201536/Rd6FdFEd_normal.jpg,https://pbs.twimg.com/profile_images/1312127750363201536/Rd6FdFEd_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,CJ_India,48770,null,none,https://t.co/w9xJsFzeYU,null,false,[]
61edc735e5ee475b263224fd,null,null,Sun Jan 23 08:46:49 +0000 2022,[],,[],[],"[{""screen_name"":""Yorha9M"",""name"":""Mostafa"",""id"":1145619492363481100,""id_str"":""1145619492363481088"",""indices"":[0,8]}]",,1,false,null,1485172156527161347,1485172156527161347,Yorha9M,1485172013375369219,1485172013375369219,1145619492363481088,1145619492363481088,false,en,en,recent,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@Yorha9M dude Boyfriend Dungeon not getting every single award for music is a fucking hate crime,false,false,Mon Jun 20 17:19:04 +0000 2011,false,false,"within these tweets, there is proof of my grinchy existence",[],"[{""url"":""https://t.co/CIZgFuHKJC"",""expanded_url"":""https://ko-fi.com/halfbloodvince"",""display_url"":""ko-fi.com/halfbloodvince"",""indices"":[0,23]}]",43422,false,695,false,1045,false,true,320868986,320868986,false,false,null,18,Dubai,vincent,false,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,true,https://pbs.twimg.com/profile_banners/320868986/1598455153,http://pbs.twimg.com/profile_images/1455098236679581703/4zMiSlU-_normal.jpg,https://pbs.twimg.com/profile_images/1455098236679581703/4zMiSlU-_normal.jpg,009999,FFFFFF,DDEEF6,333333,true,false,halfbloodvince,51091,null,none,https://t.co/CIZgFuHKJC,null,false,[]
